Dist_no_2011,Dist_name_2011,No. of P/S,No. of P/S Recvd,Reg. Voters,ABED BWANIKA,BESIGYE KIFEFE KIZZA,BETI OLIVE KAMYA NAMISANGO,BIDANDI SSALI JABERI,MAO NORBERT,OLARA OTUNNU,SAMUEL LUBEGA MUKAAKU WALTER,YOWERI MUSEVENI KAGUTA,Valid Votes,Invalid Votes,Total Votes
16,KIBAALE,451,451,242774,364,11823,336,467,256,193,217,138918,152574,7038,159612
17,KIBOGA,116,116,68583,146,6319,288,210,137,33,78,30020,37231,1575,38806
102,KIBUKU,127,127,68369,186,8969,178,87,146,115,141,38095,47917,862,48779
65,KIRUHURA,289,289,147052,63,6897,68,82,37,39,76,113865,121127,1829,122956
92,KIRYANDONGO,151,151,89363,195,5195,125,181,1286,1070,215,30829,39096,2095,41191
18,KISORO,198,198,121634,187,4286,116,200,102,61,144,86233,91329,2811,94140
19,KITGUM,178,178,85750,439,7095,209,206,3711,16360,294,17965,46279,3025,49304
66,KOBOKO,135,135,74838,533,14659,232,373,533,176,261,19443,36210,2309,38519
103,KOLE,124,124,76617,638,13305,326,219,252,2874,336,29265,47215,1970,49185
20,KOTIDO,81,81,42457,729,4621,222,248,297,368,991,11297,18773,3453,22226
21,KUMI,139,139,85562,486,21210,329,267,278,539,289,28121,51519,3127,54646
104,KWEEN,93,91,35567,103,3307,19,34,36,10,28,19318,22855,1541,24396
93,KYANKWANZI,147,147,85540,168,5121,163,191,117,46,343,42276,48425,1929,50354
84,KYEGEGWA,117,117,76921,105,4333,42,154,44,22,79,47596,52375,1522,53897
48,KYENJOJO,242,242,149104,281,7648,160,363,138,80,243,87368,96281,3372,99653
85,LAMWO,121,121,58711,283,4643,135,159,3168,6060,166,14735,29349,2109,31458
22,LIRA,273,273,176539,1291,35715,548,462,771,7455,784,45849,92875,8343,101218
94,LUUKA,156,156,87410,339,7917,108,144,152,137,107,39015,47919,1907,49826
23,LUWEERO,340,340,190715,779,28288,2037,799,982,166,198,69453,102702,4057,106759
105,LWENGO,205,205,120771,457,17042,733,357,1610,35,118,53493,73845,2924,76769
80,LYANTONDE,78,78,44553,42,3579,112,67,47,7,33,21694,25581,1179,26760
67,MANAFWA,299,299,147494,370,20138,196,152,92,203,697,72885,94733,3126,97859
77,MARACHA,125,123,78327,683,10282,343,376,434,321,333,25072,37844,2613,40457
24,MASAKA,214,214,135040,695,29147,1617,368,3986,89,281,41643,77826,2595,80421
25,MASINDI,200,200,123482,325,9299,198,272,261,421,605,54583,65964,3326,69290
49,MAYUGE,281,281,178258,447,17750,286,368,416,411,289,66663,86630,3466,90096
26,MBALE,373,373,217467,391,40827,229,342,344,469,279,71718,114599,5329,119928
27,MBARARA,385,385,230110,166,27772,363,229,175,106,99,105781,134691,4199,138890
106,MITOOMA,153,153,79220,386,12743,157,149,58,31,62,39879,53465,1982,55447
68,MITYANA,265,265,146376,637,24688,1061,522,1489,81,182,56935,85595,3584,89179
28,MOROTO,65,65,32914,508,2632,237,222,342,1896,640,7846,14323,2010,16333
29,MOYO,100,100,51070,288,11615,284,108,251,459,196,16318,29519,1932,31451
